Curs,TipusPregunta,TipusIncidencia,Comentari,IdiomaSpacy,IdiomaPyCld2,Idioma
2017-18,A,,"Els continguts d'aquesta assignatura ja els havia treballat al màster d'educació, per la qual cosa m'ha semblat una mica repetitiva.",ca,ca,ca
2017-18,P,,L'actitud de la professora em resulta molt motivadora.,ca,pt,ca
2017-18,P,,Materials molt interessants i bones orientacions. Les activitats són molt pràctiques i no es fan pesades.,ca,ca,ca
2017-18,A,,"Ha estat una exigència molt forta de treball: lliuraments constants, que requeiren una gran inversió de temps, però l'atenció del professor ha estat constant i l'aprenentatge ha estat molt interessant.",ca,ca,ca
2017-18,P,,"Molta satisfacció amb la transparència i l'antel·lació amb què es comuniquen els objectius, la metodologia i el sistema d'avaluació.",ca,ca,ca
2017-18,P,,Hem començat a treballar amb ell aquesta setmana i crec que és massa prompte per poder avaluar.,ca,ca,ca
2017-18,P,,Millora: reduir el temps de correcció de les activitats.,ca,ca,ca
2017-18,P,,Punt fort: molt accessible per correu electrònic.,ca,ca,ca
2017-18,P,,He trobat a faltar de vegades una comunicació més fluïda sobre la nostra evolució a l'assignatura i temps més curts per a l'avaluació.,ca,ca,ca
2017-18,A,,Seria interessant treballar més les onades del feminisme perquè no han quedat clares,ca,ca,ca
2017-18,P,,La correcció del primer exerercici va arribar 2 dies abans de l'entrega del darrer. Això no et permet apendre dels errors del primer per no tornar-los a cometre en el segon.,ca,ca,ca
2017-18,A,,"no he gaudit gaire amb aquesta assignatura, tot i que les lectures i el tema m'ha semblat interessant el nivell d'exigència i l'excès de tasques han fet d'aquesta assignatura una tasca pesada.",ca,ca,ca
2017-18,A,,"l'Assignatura té una càrrega de feina absolutament desproporcionada a la durada del màster i fora de la línia de les altres assignatures, La temporalització és absolutament nefasta, amb dates incongruents que impedeixen inclús, gaudir de les vacances de nadal. Els apunts que es donen són repetitius, es prima el volum a la qualitat, el número d'activitats és infinit, amb activitats ridículas com fer enquestes inproductives i enviar-les per correu ordinari o escanejades, l'assignatura no busca impartir coneixement sino donar-se importancia per la càrrega lectiva que comporta. El temps per fer els examens virtuals és insuficient i la manera de fer-los innecesariament tortuosa, com la resta d´exercicis. La manera d'avaluar els exercicis és tant inflexible que raya l'absurd, sembla que importa molt més la forma que el contingut, per Deu!!!! no volem ser limgüistas. Una decepció en tota regla.",ca,ca,ca
2017-18,A,Comentari de professor,"És fan els exercicis, sense cap mena d¡implicació ni explicació per part de la professora i no ens dona ni tan sols el  resultat....en fi...sin palabras",ca,ca,ca
2017-18,A,,Molt útil la manera de treballar els materials. Comporta molta feina per entendre les sentències però adquireixes tots els coneixements.,ca,ca,ca
2017-18,P,,"Que no es borrés el material de les passades unitats. 
El tracte i la comunicació amb la professora es merixen un 10.",ca,ca,ca
