Curs,TipusPregunta,TipusIncidencia,Comentari,IdiomaSpacy,IdiomaPyCld2,Idioma
2018-19,A,,"strength: was practical and useful for social field works
aspects of improvement: could be with more credit hours and better if course is divided into lectures of many classes rather than in single day",en,en,en
2018-19,A,,It was a very interactive class and learning through practice.  ,en,en,en
2018-19,A,Comentari excel·lent,This course is a excellent start of the studies in Lleida. The profesor is very inviting and knowledgable. Short but very interesting! I would reccomend it to anyone.,en,en,en
2018-19,P,Comentari excel·lent,"Gloria Dominguez Torres, not Jose A B. I have very much enjoyed prod Gloria and her teching methods. Very good job at keeping the lessons interesting even with the intensive nature of the classes!",en,en,en
2018-19,A,,It is very short and basic course. My suggestion is about increase ECT and make it more advance. Thanks,en,en,en
2018-19,A,,"The lecturers need to improve the communication between them, sometimes look like they are telling us different things that they want for the same task/assignment.",en,en,en
2018-19,P,,"She is open to help, support and solve any issue related to the subject.",en,en,en
2018-19,P,,"For this subject he was our lecturer just for 2 technical workshops, I do not have enough information to evaluate him..",en,en,en
2018-19,P,,"Excellent lecturer, good methods, explanations and support.",en,en,en
2018-19,A,,"First part is almost the same than in previous year, specifically pandas library. Marks weren't always justified, and in some cases we obtaied worse marks without a clear reason. Second part could be more dynamic.",en,en,en
2018-19,P,Comentari d'assignatura,"Lack of coordination with the other Big Data subjects. He repeated the same than in the previous subjects. Also, in a master degree I expected to learn something more than a library that I can search in Google.",en,en,en
2018-19,A,Comentari de professor,"Francesc Guitart lacks of teaching experience which makes him unsuitable for teaching, even if he might be a great professional at GFT. Not only he repeated most of the contents teached in the past year (poor coordination), but also he is expecting us to memorize the solutions rather than understand them and develop our own. The subject would have been more educative if the contents had been original, professors were motivated and the assignments challenged us to develop meaningful data mining solutions.",en,en,en
2018-19,P,,"Francesc Guitart lacks of teaching experience which makes him unsuitable for teaching, even if he might be a great professional at GFT. Not only he repeated most of the contents teached in the past year (poor coordination), but also he is expecting us to memorize the solutions rather than understand them and develop our own.",en,en,en
2018-19,A,,The lecturers need to improve their communication.,en,en,en
2018-19,P,,Good lecturer and excellent English level.,en,en,en
2018-19,P,,Good lecturer and excellent English level.,en,en,en
2018-19,A,,Needs Better teaching materials and more information on the subject especially for people learning the subject for the first time,en,en,en
2018-19,A,,"strength: new concepts and ideas
aspects of improvements: should be given more credit hours and with at most two lectures per day",en,en,en
2018-19,P,,should be more focused on course contents.,en,en,en
2018-19,A,,"We still have not taked our exam so I cannot comment on the assessment part, if it is or is not suitable. Generally speaking, I do not feel like I have benefited too much from this course. The profesor is very knowledgable and full of information, however the way it was presented seems a bit unadapt for the knowledge the studets have. Therefore, many times I was not able to follow the class. Perhaps is the course is no so intensive, with more time students can get a better idea of the course content, more time would allow us to study more and understand better what is being tought. But generally speaking, this is the only course I had issues with, otherwise, I am very happy with the courses offered by the faculty.",en,en,en
2018-19,P,,"Eduardo Rojas, not Jose Antonio Bonet. I feel that prof Rojas is amazingly smart and knowledgable, however, does not transfer his knowledge well onto his students. ",en,en,en
2018-19,A,,The subject should be allowed more time rather than giving it in a block term. More weeks are needed for the student to learn more since the topic itself is wide,en,en,en
2018-19,P,,The ime frame alloted for the subject is very small so to use all techniques for teaching and leanring might be difficult for the professor. but he is very knowlegeable.,en,en,en
2018-19,A,,I think it would be better if some classes would be included on basic knowledge of forest management besides five field trips.,en,en,en
2018-19,P,,is a good teacher,en,en,en
2018-19,P,,He is a very good teacher,en,en,en
2018-19,P,,I like her teaching.,en,en,en
2018-19,P,,He is a very good teacher,en,en,en
2018-19,A,,"strengths:practical and on site observation of how forests are being managed
aspects of improvement: could be even better if some more lectures about the topic are included.",en,en,en
2018-19,A,,"MEDFORMAN is among the best courses I took. All the classes were practical and learning through observation. All the topics, the field trips and the lessons were incredible.  

I have only one comment:   regarding the assessment, I think the presentation was used to assess the final performance of the students. I think it would be better to have more assessment options including a report, presentation, participation etc.  ",en,en,en
2018-19,A,,"Another great course, field trips are a great advatage of Lleida as compared to Lisbon and Padova. This course is very good, not only bevause students get to travel, but the trips are well organised and content is profesional and useful.",en,en,en
2018-19,P,,"Prof Rosario is very kind and helpful, and funny too! My experience with her was short but sweet!",en,en,en
2018-19,P,,"Prof Carlos assisted in the cork field trip, he did a good job.",en,en,en
2018-19,P,,I do not remeber this prof.,en,en,en
2018-19,P,,"Prof Jose Antonio Bonet is a good spirit of Medfor here, and I feel sorry he is not teaching more courses to us. It seems that everyone really likes him, and of course for a reason, he is very helpful and approachable. Good job sir!",en,en,en
2018-19,P,,"Subject and the way of studying is good, but personally I think professor didn’t have the same criterias for everyone in the exams which is not fair",en,en,en
2018-19,A,,"Tell the students before, that the presentation is 8 min and that there are 2 min for questions...",en,en,en
2018-19,P,,He is a very good professor putting so much efforts on this subject.the thing that i didn't like was the qualification method which was in my opinion not a very good way ! ,en,en,en
2018-19,A,,"strength: knowledge on gis and remote sensing
aspects of improvement: could have more credit hours",en,en,en
2018-19,A,,The only problem was time. I will recommend to expand the time in future.,en,en,en
2018-19,P,,He is a very good teacher and a good person too.,en,en,en
