Curs,Fitxer,TipusPregunta,TipusIncidencia,Comentari,IdiomaSpacy,IdiomaPyCld2,Idioma
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,"Esta asignatura es una de las más importantes del máster y, por su carácter, sin duda, debería ser eminentemente práctica. Sin embargo, en algunas clases, se volvía muy teórica. La cantidad de horas asignadas es pertinente.",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,"Las clases con el profesor no motivaban a la participación, eran muy pasivas y poco ilustrativas, a sabiendas de que esta asignatura debería ser muy práctica y darnos herramientas lúdicas y didácticas para desarrollar las competencias comunicativas de nuestros futuros estudiantes. Sobre esto, rescato que, desde el principio, el profesor fue muy claro y nos dijo que siempre partía de su experiencia en la enseñanza del español, porque su formación académica no era esa. Estaba presto a colaborarnos en lo que fuera.  ",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,"Excelente profesora. Sus explicaciones eran muy claras y los contenidos de las clases eran muy prácticos. Nos motivaba a participar. Muchos de los juegos y actividades que empleó en el aula perfectamente podríamos aplicarlos en nuestras futuras clases de ELE. _x000D_
Solo hubo algo que, en lo personal, no me gustó: ella quería dar las clases en catalán, pese a que la mayoría del estudiantado estaba cursando el énfasis en español. Entiendo que lo hacía para fines didácticos, pero creo que no era necesario.",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,"Esta asignatura brinda un panorama muy valioso sobre el componente cultural y la interculturalidad, puntos muy importantes en la enseñanza de cualquier lengua extranjera. Por eso mismo, echo de menos que no tenga más horas en el cuatrimestre, porque abarca muchos contenidos y, en las dos últimas sesiones, por ejemplo, no se alcanzó a ver todo.",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,"La profesora quería abordar demasiados contenidos en muy poco tiempo y por eso nunca le alcanzaban las dos horas. Si sabe eso, debería planificar mejor sus clases y explicarnos lo más importante. _x000D_
Los materiales que la profesora nos dejó en el campus virtual son excelentes. Aprecio mucho que ella misma los haya desarrollado para la asignatura.",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,"Es una profesora muy organizada. Las dos horas de clase no se hacían nada pesadas._x000D_
Podría brindarnos una mayor cantidad de material complementario.",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,"Excelente asignatura. Muy pertinente en el máster. No solo nos brindó información contextual sobre la situación de inmigración, sino que también nos dio herramientas pedagógicas muy útiles para enseñar español como segunda lengua y como lengua extranjera._x000D_
Como pienso que hay otras asignaturas que deberían tener más horas en el cuatrimestre, sugiero que la parte teórica tenga menos horas. Se me hacía que las sesiones de cuatro horas eran muy largas para lo puntuales que eran los contenidos.",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,Las horas lectivas de la asignatura Corrección fonética son demasiado pocas mientras que los contenidos son demasiado difíciles. Todos los temas tenemos que aprender nosotros mismos. Las horas exigentes para realizar cada actividad son demasiado largas. Con las actividades de sólo esta asignatura ya nos agobian. Además tenemos cuatro asignaturas más en el primer semestre.  ,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,Excelente profesora. Aprendí muchísimo con ella. Todo lo que nos enseñó me dio muchas luces sobre nuestra labor como profesores de español y en qué tenemos que prestar atención al planificar las clases. Se nota que tiene mucho conocimiento y experiencia. ,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,"Este profesor estaba encargado de la parte teórica de la asignatura. Muy pertinente. Aunque a veces no podíamos entrelazar los contenidos con la parte práctica del máster, con el trabajo final me di cuenta de la importancia que tenía. Los materiales complementarios que nos facilitó son muy buenos. ",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,buenos foros y disponibilidad de los profesores para responder preguntas.,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,Comentari d'assignatura,"Módulo 1 áreas para mejorar: _x000D_
La tarea nr. 1 del módulo 1 buscaba corregir un artículo científico. Sin embargo, considero que hay que estar un poco en la cabeza de la profesora para entender lo que buscaba. La corrección y comentarios son vagos. No me pareció una actividad muy constructiva._x000D_
Módulo 2-5 excelentes profesores ",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,La profesora del primer módulo podría mejorar su forma de hacer comentarios.,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,Asignatura muy bien planteada y prácticas retadoras,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,No ha impartit classe a aquest grup,No he tenido contacto,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,No ha impartit classe a aquest grup,No he tratado con él,pt,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,Muy  buenas clases,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,No ha impartit classe a aquest grup,No he tratado con él,pt,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,Muy bien planteada la asignatura. No quedándose en lo básico sino en lo especial y novedoso,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,No ha impartit classe a aquest grup,No he tratado con él,pt,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,"En todas las asignaturas... no ha participado en la docencia, pero cercano y atento en tareas de coordinación del máster. Enhorabuena",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,No he podido contestar a los dos primeras cuestiones ya que no han comenzado aún las aignaturas opattivas,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,Mejorar explicación de actividades principalmente para estudiante de afuera de la UE,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,Gran planteamienyo de asignatura. Sobre todo de los temas a tratar. tal vez demasiado procesal...,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,Materiales estupendos para disfrutar y aprender,es,id,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,Los ejercicios muy adecuados para disfrutar y aprender de la teoría feminista,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,dos trabajos para disfrutar y al mismo tiempo aprender de historia desde la perspectiva de género.,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,En los videos tutoriales no hablar tan deprisa.,es,en,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,El volumen de trabajo ha sido considerablemente alto en relación al resto de asignaturas del Máster. ,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,"Cuando recibí información sobre la metodología del máster de género y políticas de igualdad me informaron que la metodología era abierta flexible y basada en la realización de trabajo prácticos, cosa que no ocurre en esta asignatura la carga de trabajo es excesiva y además realizas constantemente trabajos. La verdad no entiendo que tiene de innovadora esta metodología. Me hubiera gustado que se me informara antes de decidirme a cursar el máster.",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,mUCHO MATERIAL Y MUCHOS TRABAJOS,sw,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,"Muy buen material, muy útil para poder utilizarlo en el ámbito profesional",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,"Me ha encantado la asignatura en todos los aspectos, por los materiales, la metodología, el seguimiento de las profesoras. He aprendido muchísimo.",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,Comentari d'assignatura,La profesora no ha colgado unidades didácticas cosa que ha dificultado el aprendizaje. No había material adecuado ,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,El material muy útil,es,es,es
